Impact,Year,Country,Protection,Impact Func ID
135982.72583835988,2018,ETH,No Protection,10
137216.94092341236,2019,ETH,No Protection,10
209670.66199083277,2020,ETH,No Protection,10
104574.85972467897,2021,ETH,No Protection,10
125802.73405240673,2022,ETH,No Protection,10
164700.9838844851,2023,ETH,No Protection,10
36331.915272622035,2008,ETH,No Protection,11
25131.110676281995,2009,ETH,No Protection,11
97098.15728948744,2010,ETH,No Protection,11
39400.29349386178,2011,ETH,No Protection,11
54229.04600261289,2012,ETH,No Protection,11
91803.05742732294,2013,ETH,No Protection,11
99971.23826311786,2014,ETH,No Protection,11
45912.49803456988,2015,ETH,No Protection,11
155960.9589282172,2016,ETH,No Protection,11
92459.98432189485,2017,ETH,No Protection,11
135162.6331675699,2018,ETH,No Protection,11
137647.22951491945,2019,ETH,No Protection,11
216775.69012362137,2020,ETH,No Protection,11
99753.82056462918,2021,ETH,No Protection,11
124813.92409967809,2022,ETH,No Protection,11
169275.12431996613,2023,ETH,No Protection,11
36324.766029136576,2008,ETH,No Protection,12
25861.976568269434,2009,ETH,No Protection,12
91556.96456497745,2010,ETH,No Protection,12
39035.719498475235,2011,ETH,No Protection,12
52888.988690357175,2012,ETH,No Protection,12
87684.6925844942,2013,ETH,No Protection,12
94767.42126190849,2014,ETH,No Protection,12
